id,observed_on,latitude,longitude,geoprivacy,scientific_name
126895,2012-09-24,47.4643799,-123.4782902,,Cantharellus formosus
140144,2012-10-26,47.51843249,-123.3323478699,,Cantharellus subalbidus
141419,2012-10-30,47.0700633643,-122.983787444,,Cantharellus subalbidus
143199,2012-10-17,47.0663149,-122.96917,,Cantharellus subalbidus
148507,2012-11-04,47.07080234,-122.9843217,,Cantharellus subalbidus
149027,2012-11-16,47.068807,-122.98187,,Cantharellus subalbidus
153219,2012-11-12,47.028482392,-124.1650772095,,Cantharellus formosus
153750,2012-11-27,47.5187011,-123.333776,,Cantharellus subalbidus
156726,2012-11-14,47.069717,-122.981434,,Cantharellus formosus
450473,2013-11-04,47.41148,-123.321273,,Cantharellus formosus
1124406,2014-11-06,47.071602,-122.979487,,Cantharellus formosus
4242607,2016-09-27,45.9609072843,-122.1241807946,,Cantharellus formosus
4859012,2016-07-13,47.3403711,-123.1179319,,Cantharellus subalbidus
4864454,2016-10-25,46.7581681,-121.4511975,,Cantharellus cascadensis
7275380,2017-07-26,47.0378741,-122.9006951,,Cantharellus subalbidus
7276731,2017-07-28,47.3779132,-122.9729889,,Cantharellus formosus
7276772,2017-07-26,47.0733916,-122.9734861,,Cantharellus formosus
7976883,2017-09-16,48.1813069919,-124.7065446802,,Cantharellus formosus
7980367,2017-09-15,46.7581681,-121.4511975,,Cantharellus subalbidus
8090671,2017-09-23,47.3779132,-122.9729889,,Cantharellus subalbidus
8146570,2004-08-31,46.50129409,-123.22419873,,Cantharellus formosus
8422417,2017-10-14,47.0613521744,-121.6308403015,,Cantharellus subalbidus
8509771,2017-10-03,46.1681802586,-121.9692526355,obscured,Cantharellus subalbidus
8570504,2017-10-26,48.0588361101,-122.4570465088,,Cantharellus subalbidus
8774655,2017-11-11,48.399530011,-124.6656660394,,Cantharellus formosus
9187563,2013-10-03,47.7384,-122.305,,Cantharellus formosus
9187601,2013-10-05,47.7761,-122.376,,Cantharellus formosus
9187755,2013-10-22,47.7384,-122.305,,Cantharellus formosus
9188529,2014-10-12,46.9501,-122.309,,Cantharellus roseocanus
9188669,2014-10-12,46.9501,-122.309,,Cantharellus formosus
9188798,2014-10-12,46.85385,-121.6835,,Cantharellus formosus
9188943,2014-10-19,48.0923,-121.7805,,Cantharellus formosus
9189236,2014-11-01,47.7384,-122.305,,Cantharellus formosus
9189741,2015-09-08,47.65745,-122.29,,Cantharellus formosus
9627189,2017-10-26,47.263619973,-122.4288053233,obscured,Cantharellus subalbidus
9645812,2018-01-28,47.3089103008,-122.5353828157,,Cantharellus formosus
13216053,2016-10-07,46.2862016667,-124.0528833333,,Cantharellus formosus
14592779,2018-07-12,47.2747533333,-122.4669116667,,Cantharellus roseocanus
16513040,2018-09-13,46.9958069437,-123.6027532061,,Cantharellus formosus
16576357,2018-09-15,48.0698372595,-121.7108846635,,Cantharellus formosus
