plot_cn,SPCD,species_name,scientific_name,tree_count,avg_dia,max_dia,avg_ht,total_carbon,trees_5plus_inches,state
1207,15,white fir,Abies concolor,10,17.080000000000002,24.4,86.2,8853.093572,10,OR
1207,122,ponderosa pine,Pinus ponderosa,2,23.35,23.7,109.0,4230.550908,2,OR
1207,202,Douglas-fir,Pseudotsuga menziesii,19,14.442105263157893,27.3,81.0,18395.955306,16,OR
1248,122,ponderosa pine,Pinus ponderosa,4,29.825,30.6,84.0,10903.999211,4,OR
1248,815,Oregon white oak,Quercus garryana,1,6.5,6.5,27.0,96.016397,1,OR
1248,818,California black oak,Quercus kelloggii,1,6.5,6.5,26.0,80.453344,1,OR
12898555010497,11,Pacific silver fir,Abies amabilis,4,24.25,40.1,91.25,11084.962522,4,OR
12898555010497,22,noble fir,Abies procera,10,38.2,47.1,162.3,80899.293344,10,OR
12898555010497,93,Engelmann spruce,Picea engelmannii,2,30.7,31.4,102.5,5067.245942,2,OR
12898555010497,263,western hemlock,Tsuga heterophylla,2,31.099999999999998,34.3,126.0,8121.340103,2,OR
1303,64,western juniper,Juniperus occidentalis,6,20.533333333333335,29.8,48.5,48.222992,6,OR
1303,122,ponderosa pine,Pinus ponderosa,1,2.3,2.3,10.0,2.538341,0,OR
1303,202,Douglas-fir,Pseudotsuga menziesii,1,12.0,12.0,47.0,279.800705,1,OR
13231870010497,15,white fir,Abies concolor,7,19.942857142857143,32.8,102.28571428571429,16229.712361,7,OR
13231870010497,119,western white pine,Pinus monticola,5,18.54,42.8,92.0,12329.327503999999,5,OR
13231870010497,202,Douglas-fir,Pseudotsuga menziesii,10,22.630000000000003,40.5,107.3,27395.432361,10,OR
13231870010497,263,western hemlock,Tsuga heterophylla,1,25.5,25.5,86.0,1926.717786,1,OR
174763181020004,15,white fir,Abies concolor,1,5.0,5.0,31.0,24.752391,1,OR
174763181020004,21,Shasta red fir,Abies shastensis,39,24.33076923076923,52.0,108.64102564102564,106541.45837000001,39,OR
