scientific_name,US_L4CODE,US_L4NAME,count
Cantharellus cascadensis,2f,Central Puget Lowland,5
Cantharellus cascadensis,4b,Western Cascades Montane Highlands,4
Cantharellus cascadensis,4a,Western Cascades Lowlands and Valleys,3
Cantharellus cascadensis,9a,Yakima Plateau and Slopes,2
Cantharellus cascadensis,1f,Willapa Hills,1
Cantharellus cascadensis,2b,Eastern Puget Riverine Lowlands,1
Cantharellus cascadensis,2d,Olympic Rainshadow,1
Cantharellus cascadensis,2e,Eastern Puget Uplands,1
Cantharellus cascadensis,3d,Valley Foothills,1
Cantharellus cascadensis,77a,North Cascades Lowland Forests,1
Cantharellus formosus,2f,Central Puget Lowland,310
Cantharellus formosus,1b,Coastal Uplands,91
Cantharellus formosus,77a,North Cascades Lowland Forests,88
Cantharellus formosus,2e,Eastern Puget Uplands,79
Cantharellus formosus,4a,Western Cascades Lowlands and Valleys,78
Cantharellus formosus,1d,Volcanics,69
Cantharellus formosus,1c,Low Olympics,43
Cantharellus formosus,2g,Southern Puget Prairies,37
Cantharellus formosus,2d,Olympic Rainshadow,31
Cantharellus formosus,1a,Coastal Lowlands,26
Cantharellus formosus,4b,Western Cascades Montane Highlands,18
Cantharellus formosus,2a,Fraser Lowland,15
Cantharellus formosus,77b,North Cascades Highland Forests,12
Cantharellus formosus,1f,Willapa Hills,9
Cantharellus formosus,2c,San Juan Islands,7
Cantharellus formosus,2b,Eastern Puget Riverine Lowlands,5
Cantharellus formosus,4d,Cascade Subalpine/Alpine,5
Cantharellus formosus,3a,Portland/Vancouver Basin,4
Cantharellus formosus,1e,Outwash,3
Cantharellus formosus,2h,Cowlitz/Chehalis Foothills,2
Cantharellus formosus,77i,High Olympics,2
Cantharellus formosus,11f,Canyons and Dissected Highlands,1
Cantharellus formosus,2i,Cowlitz/Newaukum Prairie Floodplains,1
Cantharellus formosus,77c,North Cascades Subalpine/Alpine,1
Cantharellus formosus,9c,Oak/Conifer Foothills,1
Cantharellus roseocanus,1b,Coastal Uplands,13
Cantharellus roseocanus,4c,Cascade Crest Montane Forest,10
Cantharellus roseocanus,77b,North Cascades Highland Forests,10
Cantharellus roseocanus,2f,Central Puget Lowland,6
Cantharellus roseocanus,1a,Coastal Lowlands,5
Cantharellus roseocanus,4a,Western Cascades Lowlands and Valleys,5
Cantharellus roseocanus,1c,Low Olympics,4
Cantharellus roseocanus,77a,North Cascades Lowland Forests,3
Cantharellus roseocanus,2c,San Juan Islands,2
Cantharellus roseocanus,2e,Eastern Puget Uplands,2
Cantharellus roseocanus,77g,Wenatchee/Chelan Highlands,2
Cantharellus roseocanus,2g,Southern Puget Prairies,1
Cantharellus roseocanus,4b,Western Cascades Montane Highlands,1
Cantharellus roseocanus,9b,Grand Fir Mixed Forest,1
Cantharellus subalbidus,2f,Central Puget Lowland,95
Cantharellus subalbidus,4a,Western Cascades Lowlands and Valleys,59
Cantharellus subalbidus,4b,Western Cascades Montane Highlands,25
Cantharellus subalbidus,1d,Volcanics,15
Cantharellus subalbidus,77h,Chiwaukum Hills and Lowlands,15
Cantharellus subalbidus,2d,Olympic Rainshadow,9
Cantharellus subalbidus,77b,North Cascades Highland Forests,7
Cantharellus subalbidus,77g,Wenatchee/Chelan Highlands,6
Cantharellus subalbidus,9b,Grand Fir Mixed Forest,6
Cantharellus subalbidus,1c,Low Olympics,4
Cantharellus subalbidus,4c,Cascade Crest Montane Forest,3
Cantharellus subalbidus,10a,Channeled Scablands,2
Cantharellus subalbidus,15y,Selkirk Mountains,2
Cantharellus subalbidus,77a,North Cascades Lowland Forests,2
Cantharellus subalbidus,77c,North Cascades Subalpine/Alpine,2
Cantharellus subalbidus,1e,Outwash,1
Cantharellus subalbidus,2c,San Juan Islands,1
Cantharellus subalbidus,2e,Eastern Puget Uplands,1
Cantharellus subalbidus,2g,Southern Puget Prairies,1
Cantharellus subalbidus,4d,Cascade Subalpine/Alpine,1
Cantharellus subalbidus,9c,Oak/Conifer Foothills,1
