species_name,gbif_id,latitude,longitude,coordinate_uncertainty,elevation,date,year,month,day,dataset,institution,collector,country,state_province,locality,habitat,basis_of_record,occurrence_status,taxon_key,scientific_name,identification_qualifier
Cantharellus formosus,4508036457,48.452053,-121.138594,,,2024-01-01T10:23:01,2024,1,1.0,iNaturalist research-grade observations,iNaturalist,sruffner,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4510413845,47.551584,-122.250048,163.0,,2024-01-06T15:29:11,2024,1,6.0,iNaturalist research-grade observations,iNaturalist,nonbinaryarbutus,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4510408062,47.779288,-124.292313,4.0,,2024-01-01T11:23:21,2024,1,1.0,iNaturalist research-grade observations,iNaturalist,Christy Horsley,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4921612293,48.76211,-122.15566,,,2024-01-01T11:05,2024,1,1.0,iNaturalist research-grade observations,iNaturalist,grimwa,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4919597312,43.869408,-124.13243,238.0,,2024-02-17T13:25:42,2024,2,17.0,iNaturalist research-grade observations,iNaturalist,katyapodkovyrofflewis,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4535693539,43.86902,-124.132125,4.0,,2024-02-17T13:26:01,2024,2,17.0,iNaturalist research-grade observations,iNaturalist,mason-ruggiero,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4903889549,47.479002,-122.705977,179.0,,2024-06-30T12:16:19,2024,6,30.0,iNaturalist research-grade observations,iNaturalist,Sean Sims,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4903868542,47.795283,-122.598752,9.0,,2024-06-30T15:08:42,2024,6,30.0,iNaturalist research-grade observations,iNaturalist,Kathleen Dobson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4909023123,47.478375,-122.548119,,,2024-07-02T08:44:53,2024,7,2.0,iNaturalist research-grade observations,iNaturalist,brookeburnett17,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4908725467,47.066724,-122.978055,114.0,,2024-07-06T12:26:19,2024,7,6.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4908879577,48.151512,-124.671481,11.0,,2024-07-15T14:07:18,2024,7,15.0,iNaturalist research-grade observations,iNaturalist,yossarianc,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4921706256,47.067341,-122.979243,223.0,,2024-08-03T13:11:55,2024,8,3.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4924135744,47.174404,-124.193952,73.0,,2024-08-10T13:09:12,2024,8,10.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936681650,45.306491,-122.224871,15.0,,2024-08-13T17:25,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,William McCullough,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4926116717,46.73837,-121.886087,4.0,,2024-08-19T11:50:46,2024,8,19.0,iNaturalist research-grade observations,iNaturalist,Erik Ertsgaard,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935812684,43.333162,-124.362587,199.0,,2024-08-14T17:16:29,2024,8,14.0,iNaturalist research-grade observations,iNaturalist,mossmace,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4937089662,44.273158,-124.080997,,,2024-08-13T15:29,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,Bruce Newhouse,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935627015,44.278247,-124.071048,252.0,,2024-08-13T15:55,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,Bruce Newhouse,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,5133475732,46.126886,-123.913661,106.0,,2024-08-17T13:20:03,2024,8,17.0,iNaturalist research-grade observations,iNaturalist,zach_j_middleton,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936612008,45.966642,-122.337836,221.0,,2024-08-22T14:11:30,2024,8,22.0,iNaturalist research-grade observations,iNaturalist,Jason,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936810566,47.336049,-123.948708,8.0,,2024-08-22T14:46:33,2024,8,22.0,iNaturalist research-grade observations,iNaturalist,marcus_antonius,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936746017,48.613667,-122.405563,4.0,,2024-08-22T09:15:44,2024,8,22.0,iNaturalist research-grade observations,iNaturalist,lagardilla,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4954389347,42.010672,-124.153892,89.0,,2024-08-19T12:17:11,2024,8,19.0,iNaturalist research-grade observations,iNaturalist,Colton Veltkamp,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4937188863,45.74718,-122.048272,29.0,,2024-08-24T19:01:32,2024,8,24.0,iNaturalist research-grade observations,iNaturalist,jcmsmith,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4937166378,43.306717,-124.391686,,,2024-08-25T13:59:53,2024,8,25.0,iNaturalist research-grade observations,iNaturalist,Wes Gill,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4945492256,48.283856,-122.544593,9.0,,2024-08-26T12:32:33,2024,8,26.0,iNaturalist research-grade observations,iNaturalist,Eva Gordon Author,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4954663035,43.780198,-124.158242,,,2024-08-25T12:15,2024,8,25.0,iNaturalist research-grade observations,iNaturalist,Bruce Newhouse,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935810890,44.874022,-123.066453,4.0,,2024-08-26T17:56:20,2024,8,26.0,iNaturalist research-grade observations,iNaturalist,rawlins,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4954401420,47.956478,-123.850997,9.0,,2024-08-27T13:53:09,2024,8,27.0,iNaturalist research-grade observations,iNaturalist,bhalle,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4946044664,47.836492,-123.973213,4.0,,2024-08-28T11:08:34,2024,8,28.0,iNaturalist research-grade observations,iNaturalist,Andrew,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936082928,47.917592,-124.606161,22.0,,2024-08-26T09:50:11,2024,8,26.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936603743,47.917596,-124.606161,22.0,,2024-08-26T10:26:34,2024,8,26.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936729732,47.917593,-124.606158,22.0,,2024-08-26T10:35:10,2024,8,26.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935739030,44.530566,-123.544573,192.0,,2024-08-30T14:26:53,2024,8,30.0,iNaturalist research-grade observations,iNaturalist,stevenmelhorn,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4937235355,46.979703,-123.235922,7.0,,2024-08-28T19:21:10,2024,8,28.0,iNaturalist research-grade observations,iNaturalist,Shelby N,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936994867,43.311342,-124.384069,,,2024-08-30T15:27:32,2024,8,30.0,iNaturalist research-grade observations,iNaturalist,Wes Gill,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
