species_name,gbif_id,latitude,longitude,coordinate_uncertainty,elevation,date,year,month,day,dataset,institution,collector,country,state_province,locality,habitat,basis_of_record,occurrence_status,taxon_key,scientific_name,identification_qualifier
Cantharellus formosus,4508036457,48.452053,-121.138594,,,2024-01-01T10:23:01,2024,1,1.0,iNaturalist research-grade observations,iNaturalist,sruffner,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4510413845,47.551584,-122.250048,163.0,,2024-01-06T15:29:11,2024,1,6.0,iNaturalist research-grade observations,iNaturalist,nonbinaryarbutus,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4510408062,47.779288,-124.292313,4.0,,2024-01-01T11:23:21,2024,1,1.0,iNaturalist research-grade observations,iNaturalist,Christy Horsley,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4510376230,46.859789,-123.056718,26935.0,,2024-01-07T16:34,2024,1,7.0,iNaturalist research-grade observations,iNaturalist,leahparr,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4921612293,48.76211,-122.15566,,,2024-01-01T11:05,2024,1,1.0,iNaturalist research-grade observations,iNaturalist,grimwa,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4516311663,42.969794,-123.461846,27568.0,,2024-01-19T15:46,2024,1,19.0,iNaturalist research-grade observations,iNaturalist,poultrypalace,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4522753481,45.624728,-122.90951,27126.0,,2024-01-05T15:11,2024,1,5.0,iNaturalist research-grade observations,iNaturalist,Casey Cunningham,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4950240186,47.51532,-123.354772,26839.0,,2024-02-12T14:48:45,2024,2,12.0,iNaturalist research-grade observations,iNaturalist,leahparr,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4919597312,43.869408,-124.13243,238.0,,2024-02-17T13:25:42,2024,2,17.0,iNaturalist research-grade observations,iNaturalist,katyapodkovyrofflewis,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4535693539,43.86902,-124.132125,4.0,,2024-02-17T13:26:01,2024,2,17.0,iNaturalist research-grade observations,iNaturalist,mason-ruggiero,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4872466723,45.805741,-123.530462,3906.0,,2024-04-08T17:17,2024,4,8.0,iNaturalist research-grade observations,iNaturalist,cmcdermott66,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4904197863,47.389905,-123.002334,26871.0,,2024-06-28T10:21:31,2024,6,28.0,iNaturalist research-grade observations,iNaturalist,Milli Vedder,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4904120892,47.414709,-122.498151,26839.0,,2024-06-28T15:35:13,2024,6,28.0,iNaturalist research-grade observations,iNaturalist,Mushroom Wonderland,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4904105731,47.440728,-122.605607,26839.0,,2024-06-29T13:17:51,2024,6,29.0,iNaturalist research-grade observations,iNaturalist,Sean Sims,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4903782570,47.414496,-122.466768,26839.0,,2024-06-29T14:08:37,2024,6,29.0,iNaturalist research-grade observations,iNaturalist,donkey_oatey,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4903889549,47.479002,-122.705977,179.0,,2024-06-30T12:16:19,2024,6,30.0,iNaturalist research-grade observations,iNaturalist,Sean Sims,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4903868542,47.795283,-122.598752,9.0,,2024-06-30T15:08:42,2024,6,30.0,iNaturalist research-grade observations,iNaturalist,Kathleen Dobson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4909023123,47.478375,-122.548119,,,2024-07-02T08:44:53,2024,7,2.0,iNaturalist research-grade observations,iNaturalist,brookeburnett17,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4908725467,47.066724,-122.978055,114.0,,2024-07-06T12:26:19,2024,7,6.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4908879577,48.151512,-124.671481,11.0,,2024-07-15T14:07:18,2024,7,15.0,iNaturalist research-grade observations,iNaturalist,yossarianc,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4911135094,47.688517,-122.604353,26807.0,,2024-07-20T15:00:59,2024,7,20.0,iNaturalist research-grade observations,iNaturalist,angeliqueva,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4921706256,47.067341,-122.979243,223.0,,2024-08-03T13:11:55,2024,8,3.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4924135744,47.174404,-124.193952,73.0,,2024-08-10T13:09:12,2024,8,10.0,iNaturalist research-grade observations,iNaturalist,Drew T Henderson,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4925846805,46.703887,-122.890144,26967.0,,2024-08-13T18:22:49,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,yossarianc,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936681650,45.306491,-122.224871,15.0,,2024-08-13T17:25,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,William McCullough,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4926062553,45.895036,-123.962124,27095.0,,2024-08-17T14:26:12,2024,8,17.0,iNaturalist research-grade observations,iNaturalist,Matt Unitis,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4926116717,46.73837,-121.886087,4.0,,2024-08-19T11:50:46,2024,8,19.0,iNaturalist research-grade observations,iNaturalist,Erik Ertsgaard,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935812684,43.333162,-124.362587,199.0,,2024-08-14T17:16:29,2024,8,14.0,iNaturalist research-grade observations,iNaturalist,mossmace,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936513864,46.706711,-122.827486,26967.0,,2024-08-21T16:45:45,2024,8,21.0,iNaturalist research-grade observations,iNaturalist,yossarianc,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4936697990,46.698854,-122.815159,26967.0,,2024-08-21T17:05:45,2024,8,21.0,iNaturalist research-grade observations,iNaturalist,yossarianc,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935631356,46.630275,-122.860439,26967.0,,2024-08-21T17:37:26,2024,8,21.0,iNaturalist research-grade observations,iNaturalist,yossarianc,United States of America,Washington,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935812969,45.985796,-123.125013,27095.0,,2024-08-21T13:27,2024,8,21.0,iNaturalist research-grade observations,iNaturalist,Nadia Fay,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4937089662,44.273158,-124.080997,,,2024-08-13T15:29,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,Bruce Newhouse,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4935627015,44.278247,-124.071048,252.0,,2024-08-13T15:55,2024,8,13.0,iNaturalist research-grade observations,iNaturalist,Bruce Newhouse,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,4954395408,45.531785,-122.291218,3118.0,,2024-08-22T12:56:26,2024,8,22.0,iNaturalist research-grade observations,iNaturalist,Catherine Creech,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
Cantharellus formosus,5133475732,46.126886,-123.913661,106.0,,2024-08-17T13:20:03,2024,8,17.0,iNaturalist research-grade observations,iNaturalist,zach_j_middleton,United States of America,Oregon,,,HUMAN_OBSERVATION,PRESENT,5466954,Cantharellus formosus Corner,
