month,mean,median,min,max,std
Jan,41.892166,37.9239,22.406898,144.9319,14.610465
Feb,29.84052,26.1454,13.802,141.481,11.67808
Mar,32.52017,28.7704,13.790899,161.175,13.783121
Apr,25.951452,22.5719,10.7589,130.4359,10.7356205
May,28.33841,25.7929,10.7199,90.6279,10.164968
Jun,23.146776,21.1709,8.656,69.1679,7.7905636
Jul,9.231144,8.328,1.8348999,30.250898,3.612148
Aug,7.663255,7.0779,2.46,25.0569,2.9676044
Sep,10.308228,9.0239,3.7359,37.354,4.106949
Oct,26.863253,24.062,13.972899,113.54,9.185991
Nov,39.65859,34.929,17.9519,143.2209,15.655375
Dec,48.1666,44.41335,23.6229,177.75279,16.796421
