month,mean,median,min,max,std
Jan,1.6492988,1.4930677,0.88216186,5.7059836,0.57521546
Feb,1.1748244,1.029347,0.54338616,5.5701213,0.45976716
Mar,1.2803223,1.1326935,0.5429491,6.345476,0.5426429
Apr,1.0217113,0.888658,0.42357898,5.1352744,0.42266247
May,1.115686,1.0154691,0.42204356,3.5680296,0.4001958
Jun,0.91129094,0.8335005,0.3407876,2.7231472,0.30671528
Jul,0.36343107,0.3278742,0.072240196,1.1909809,0.14221063
Aug,0.30170313,0.27865764,0.09685045,0.9864927,0.11683489
Sep,0.40583596,0.35527185,0.14708276,1.4706308,0.161691
Oct,1.057609,0.9473234,0.55011445,4.4700813,0.36165342
Nov,1.5613626,1.3751583,0.70676816,5.6386213,0.6163537
Dec,1.8963239,1.748558,0.93003595,6.9981456,0.6612768
