month,mean,median,min,max,std
Jan,106.076775,107.4239,28.847898,228.5559,51.92483
Feb,89.98846,92.2854,27.333,181.05,42.177677
Mar,101.20331,105.4474,36.5669,192.42389,42.609905
Apr,81.52604,82.07745,34.6489,168.62779,28.486383
May,70.1815,70.77295,38.7938,127.7279,14.233293
Jun,54.647297,55.1129,29.677,92.2229,9.41252
Jul,19.30723,18.6594,11.2209,30.3429,3.8676493
Aug,18.513298,18.596401,10.5619,24.583899,2.5734613
Sep,25.473171,23.36385,13.5949,39.208,6.2183776
Oct,67.375694,66.151505,25.3599,131.33589,28.082237
Nov,112.09044,111.80195,35.3649,262.2619,51.542736
Dec,118.615234,120.39189,32.3458,267.7279,58.20074
