month,mean,median,min,max,std
Jan,4.1762533,4.2292895,1.1357447,8.998268,2.0442858
Feb,3.5428545,3.6332855,1.076103,7.127957,1.6605394
Mar,3.9843845,4.151475,1.4396424,7.575748,1.6775563
Apr,3.2096884,3.2313976,1.3641306,6.638893,1.1215118
May,2.763053,2.786338,1.5273159,5.0286603,0.56036615
Jun,2.1514697,2.1698005,1.1683865,3.6308248,0.37057188
Jul,0.7601276,0.7346225,0.44176796,1.194603,0.15226975
Aug,0.7288704,0.7321422,0.41582307,0.9678706,0.10131743
Sep,1.0028813,0.9198371,0.5352326,1.543623,0.24481815
Oct,2.652588,2.6043913,0.9984218,5.170707,1.1056005
Nov,4.413012,4.401654,1.3923197,10.325277,2.0292428
Dec,4.6698937,4.739841,1.2734574,10.540475,2.291369
