month,mean,median,min,max,std
Jan,68.77857,62.3284,28.4889,200.927,27.398924
Feb,48.124203,43.254898,19.5009,161.2929,19.765451
Mar,61.904163,56.9459,21.0639,239.87189,26.210886
Apr,48.78656,44.1499,21.4279,129.5719,17.18219
May,57.57715,54.807396,25.711899,135.069,16.321224
Jun,60.61507,58.0639,22.5798,143.7399,19.29915
Jul,26.683128,25.968899,10.6139,63.0429,8.955833
Aug,17.804798,17.3209,7.559,39.2649,5.4939384
Sep,25.187107,23.1728,7.217,64.3288,8.525084
Oct,47.99454,43.8784,18.559,139.3179,17.895199
Nov,69.39561,62.6419,27.0189,211.6169,28.45339
Dec,79.12676,73.8409,32.1769,205.04889,27.655718
