month,mean,median,min,max,std
Jan,2.7078192,2.4538753,1.1216109,7.9105163,1.0786984
Feb,1.8946548,1.7029498,0.7677524,6.3501177,0.77816784
Mar,2.4371731,2.2419658,0.8292879,9.44378,1.0319252
Apr,1.9207318,1.738186,0.8436186,5.1012588,0.67646456
May,2.266818,2.1577728,1.0122801,5.3176804,0.64256823
Jun,2.3864214,2.2859817,0.888969,5.6590543,0.7598095
Jul,1.0505174,1.0223981,0.4178703,2.4820054,0.35259208
Aug,0.70097667,0.6819256,0.2975986,1.545863,0.21629691
Sep,0.99161893,0.9123155,0.28413403,2.5326312,0.3356334
Oct,1.88955,1.727497,0.7306697,5.48496,0.7045358
Nov,2.7321122,2.466218,1.0637368,8.331379,1.1202128
Dec,3.1152287,2.9071236,1.2668078,8.072796,1.0888084
