month,mean,median,min,max,std
Jan,414.2599,403.01733,108.5189,1005.70886,131.55449
Feb,258.0499,253.1319,72.3909,602.088,71.36139
Mar,301.3694,290.76233,70.498,713.4819,94.78133
Apr,202.0471,196.9504,39.325,458.3009,61.74318
May,108.796364,103.9909,28.25,241.875,29.660967
Jun,81.75347,80.275894,19.4329,181.51689,23.427216
Jul,35.816357,31.7859,11.6689,83.8319,13.761795
Aug,52.83821,47.2259,17.7299,128.1389,19.62703
Sep,101.63676,98.49095,31.3389,257.7729,34.94643
Oct,258.38416,251.78944,77.9079,658.16986,81.77925
Nov,428.32327,399.01685,129.912,1044.0139,144.46341
Dec,404.8595,385.37238,112.2649,961.92285,122.39669
