month,mean,median,min,max,std
Jan,16.309454,15.866833,4.2724,39.59486,5.1793137
Feb,10.159451,9.965828,2.850037,23.704266,2.809505
Mar,11.8649435,11.447342,2.7755134,28.089853,3.7315505
Apr,7.9546146,7.753957,1.5482292,18.043352,2.4308352
May,4.283324,4.094132,1.1122054,9.522643,1.1677552
Jun,3.2186425,3.16047,0.7650752,7.1463385,0.92233187
Jul,1.4100935,1.2514141,0.45940575,3.3004704,0.54180324
Aug,2.0802457,1.8592885,0.69802797,5.0448413,0.77271813
Sep,4.0014496,3.8775988,1.2338157,10.148544,1.3758445
Oct,10.17261,9.912976,3.067242,25.912214,3.2196574
Nov,16.86313,15.709333,5.114649,41.102932,5.687539
Dec,15.93936,15.17215,4.4198804,37.871,4.81877
