month,mean,median,min,max,std
Jan,174.51364,164.232,55.965,601.68787,62.78633
Feb,117.013306,112.1699,39.0378,374.5119,38.629185
Mar,132.7097,127.8954,40.0109,430.9989,45.177628
Apr,98.28563,96.7639,32.138,294.3359,29.9937
May,66.9012,63.5214,25.618,169.18779,17.525608
Jun,51.6969,48.0724,17.468,140.97389,14.207549
Jul,22.206673,20.539951,10.517,57.1899,6.33158
Aug,27.81329,26.21545,13.9109,71.8339,6.550958
Sep,52.423492,49.686447,21.4109,137.0739,14.545291
Oct,119.928474,117.2274,39.277,369.5069,36.801792
Nov,190.03212,179.39536,65.8529,618.00287,63.164787
Dec,177.55064,164.4339,59.7379,605.9549,63.07311
