month,mean,median,min,max,std
Jan,6.87062,6.4658303,2.2033477,23.688513,2.4719043
Feb,4.606826,4.41614,1.5369221,14.744572,1.5208349
Mar,5.2247944,5.035255,1.5752331,16.96847,1.7786478
Apr,3.8695152,3.8096046,1.2652763,11.588035,1.180855
May,2.633907,2.500844,1.0085832,6.66094,0.689985
Jun,2.0353122,1.8926152,0.68771696,5.5501566,0.55935264
Jul,0.87427896,0.80866,0.41405535,2.2515721,0.24927495
Aug,1.0950121,1.032105,0.5476735,2.8281078,0.2579119
Sep,2.063918,1.9561604,0.8429493,5.396613,0.5726496
Oct,4.7215962,4.6152544,1.5463395,14.5475235,1.4488903
Nov,7.4815836,7.0628133,2.5926352,24.330835,2.486804
Dec,6.9901867,6.473779,2.3518872,23.856504,2.4831946
