month,mean,median,min,max,std
Jan,179.55128,170.08044,140.5869,290.975,29.975864
Feb,132.0138,125.0004,98.8258,216.0369,23.6562
Mar,140.34314,131.84595,106.3959,226.5419,25.49951
Apr,110.53444,103.6999,79.5599,194.7919,22.594036
May,79.48605,76.428894,60.3229,129.7369,14.10355
Jun,56.823635,54.155396,41.444,99.1569,11.509832
Jul,15.078192,14.535399,11.217899,22.107,2.3887064
Aug,18.871859,17.7559,12.7969,30.625,3.7051482
Sep,50.58547,47.9884,33.875,81.638,9.8133955
Oct,117.86318,110.640945,89.861,202.1969,22.79618
Nov,189.80916,178.40091,147.1479,303.5959,33.727177
Dec,203.68793,193.0304,167.6409,318.3079,31.568598
