month,mean,median,min,max,std
Jan,7.068952,6.6960845,5.53492,11.455715,1.1801528
Feb,5.1973963,4.921278,3.8907816,8.505394,0.931347
Mar,5.5253234,5.1907883,4.188817,8.918978,1.0039183
Apr,4.351752,4.0826755,3.1322813,7.668977,0.88952947
May,3.129374,3.0090132,2.3749187,5.1077547,0.5552582
Jun,2.2371523,2.1321034,1.6316545,3.9038172,0.45314327
Jul,0.59362996,0.57226014,0.44164982,0.87035483,0.09404361
Aug,0.742987,0.69905156,0.50381523,1.2057093,0.14587206
Sep,1.991555,1.8893081,1.3336622,3.2140963,0.38635436
Oct,4.6402855,4.355945,3.5378366,7.960512,0.89748794
Nov,7.4728055,7.0236616,5.7932277,11.9526005,1.3278424
Dec,8.019215,7.599626,6.600039,12.531814,1.2428589
