month,mean,median,min,max,std
Jan,318.503,303.32834,119.2009,714.8439,89.30788
Feb,232.08434,219.93439,76.162895,551.0219,68.12296
Mar,241.60939,228.85544,84.054,625.65576,69.01782
Apr,176.02383,169.29895,54.2319,427.6049,50.054314
May,117.32351,112.884895,35.7789,248.4379,29.996069
Jun,87.52319,82.644394,22.291,207.96889,25.957548
Jul,27.379026,24.765799,5.3188996,92.43,10.0135565
Aug,33.843826,31.8919,6.1208997,91.8288,10.379964
Sep,80.97788,77.27139,20.3379,205.11,23.718182
Oct,199.30289,190.42789,66.7089,529.0729,53.28388
Nov,321.51086,306.7154,123.2849,749.2749,88.718315
Dec,330.78363,312.74347,123.708,791.42285,96.62438
