month,mean,median,min,max,std
Jan,12.5394945,11.942067,4.692951,28.143475,3.51606
Feb,9.137184,8.658839,2.9985409,21.693789,2.682008
Mar,9.512186,9.010061,3.3092146,24.63213,2.7172387
Apr,6.930076,6.6653166,2.1351154,16.834848,1.9706434
May,4.6190386,4.4442897,1.4086189,9.781025,1.1809483
Jun,3.445797,3.2537181,0.87759894,8.187757,1.0219513
Jul,1.0779151,0.975032,0.20940562,3.6389785,0.39423472
Aug,1.3324349,1.2555873,0.24098043,3.615309,0.40866023
Sep,3.1881075,3.0421824,0.8007052,8.075201,0.9337872
Oct,7.846575,7.497165,2.626336,20.829653,2.0977917
Nov,12.657915,12.075416,4.853739,29.49903,3.492849
Dec,13.0229845,12.312742,4.8703966,31.158398,3.8041117
