month,mean,median,min,max,std
Jan,272.33447,258.6699,29.8629,917.5539,154.18738
Feb,186.2339,178.11389,21.038,730.6469,104.56787
Mar,200.18791,186.593,21.034899,764.4779,123.20976
Apr,125.99769,110.591896,17.402899,529.26886,82.4368
May,91.91069,79.68,21.270899,323.3199,53.453144
Jun,73.831566,66.5169,16.319,247.49089,40.787342
Jul,35.729572,32.9909,7.0758996,123.6729,18.441708
Aug,39.507256,35.3239,6.1138997,168.88089,23.85823
Sep,80.275665,68.8669,6.2728996,359.1829,54.7284
Oct,187.35507,167.69789,21.708899,622.5469,117.56719
Nov,296.3431,275.013,26.6789,1258.0288,180.04062
Dec,269.24545,257.509,32.207,894.5299,143.99083
