month,mean,median,min,max,std
Jan,10.721836,10.18386,1.1757054,36.12419,6.0703726
Feb,7.3320475,7.012362,0.8282682,28.765642,4.1168475
Mar,7.881418,7.346185,0.8281461,30.097572,4.850781
Apr,4.9605417,4.354014,0.6851539,20.837368,3.2455451
May,3.6185331,3.1370096,0.83743745,12.729136,2.1044557
Jun,2.9067562,2.618777,0.6424807,9.743741,1.6058018
Jul,1.4066769,1.298855,0.27857888,4.8690143,0.72605187
Aug,1.5554047,1.3907055,0.24070485,6.6488576,0.93930095
Sep,3.160461,2.7112968,0.2469647,14.141067,2.1546626
Oct,7.3761883,6.602283,0.85468155,24.509733,4.628632
Nov,11.667058,10.82729,1.050351,49.52872,7.0882173
Dec,10.600221,10.138155,1.2679929,35.21773,5.6689334
