month,mean,median,min,max,std
Jan,140.84811,134.6684,50.8219,458.6579,55.26534
Feb,107.22522,102.7719,33.9819,355.2089,42.754265
Mar,93.12718,84.5544,30.861,325.41788,44.326454
Apr,56.89486,49.6849,18.479,220.4399,26.731152
May,43.16256,39.7659,18.2679,118.2119,16.405516
Jun,28.238787,24.614399,12.2279,86.9598,12.067546
Jul,10.673042,9.59745,3.7208998,29.8779,4.2912827
Aug,11.058393,9.7864,4.6359,33.4679,4.7678366
Sep,24.337732,21.929848,8.519899,83.0219,11.397675
Oct,76.67923,67.386505,25.6229,235.8109,34.335606
Nov,129.95828,118.66645,41.7029,438.1749,57.23897
Dec,167.83598,161.50833,58.7409,501.4019,60.185753
