month,mean,median,min,max,std
Jan,5.5452046,5.3019085,2.0008633,18.057407,2.175802
Feb,4.2214675,4.0461397,1.3378708,13.98461,1.6832397
Mar,3.6664267,3.328915,1.2150006,12.811734,1.745137
Apr,2.2399564,1.9560995,0.7275201,8.6787405,1.0524081
May,1.6993144,1.5655875,0.7192091,4.6540146,0.6458868
Jun,1.1117638,0.9690714,0.48141363,3.4236162,0.4751005
Jul,0.42019874,0.3778526,0.1464922,1.1762959,0.16894823
Aug,0.43537003,0.38529155,0.18251584,1.3176346,0.18771021
Sep,0.958179,0.8633803,0.3354293,3.2685804,0.4487276
Oct,3.018869,2.6530135,1.0087762,9.283899,1.3517963
Nov,5.116471,4.6719103,1.6418474,17.25099,2.253504
Dec,6.6077194,6.358599,2.3126352,19.740242,2.3695192
