month,mean,median,min,max,std,l3_code,region_name
Jan,414.2599,403.01733,108.5189,1005.70886,131.55449,1,Coast Range
Feb,258.0499,253.1319,72.3909,602.088,71.36139,1,Coast Range
Mar,301.3694,290.76233,70.498,713.4819,94.78133,1,Coast Range
Apr,202.0471,196.9504,39.325,458.3009,61.74318,1,Coast Range
May,108.796364,103.9909,28.25,241.875,29.660967,1,Coast Range
Jun,81.75347,80.275894,19.4329,181.51689,23.427216,1,Coast Range
Jul,35.816357,31.7859,11.6689,83.8319,13.761795,1,Coast Range
Aug,52.83821,47.2259,17.7299,128.1389,19.62703,1,Coast Range
Sep,101.63676,98.49095,31.3389,257.7729,34.94643,1,Coast Range
Oct,258.38416,251.78944,77.9079,658.16986,81.77925,1,Coast Range
Nov,428.32327,399.01685,129.912,1044.0139,144.46341,1,Coast Range
Dec,404.8595,385.37238,112.2649,961.92285,122.39669,1,Coast Range
Jan,41.892166,37.9239,22.406898,144.9319,14.610465,10,Columbia Plateau
Feb,29.84052,26.1454,13.802,141.481,11.67808,10,Columbia Plateau
Mar,32.52017,28.7704,13.790899,161.175,13.783121,10,Columbia Plateau
Apr,25.951452,22.5719,10.7589,130.4359,10.7356205,10,Columbia Plateau
May,28.33841,25.7929,10.7199,90.6279,10.164968,10,Columbia Plateau
Jun,23.146776,21.1709,8.656,69.1679,7.7905636,10,Columbia Plateau
Jul,9.231144,8.328,1.8348999,30.250898,3.612148,10,Columbia Plateau
Aug,7.663255,7.0779,2.46,25.0569,2.9676044,10,Columbia Plateau
Sep,10.308228,9.0239,3.7359,37.354,4.106949,10,Columbia Plateau
Oct,26.863253,24.062,13.972899,113.54,9.185991,10,Columbia Plateau
Nov,39.65859,34.929,17.9519,143.2209,15.655375,10,Columbia Plateau
Dec,48.1666,44.41335,23.6229,177.75279,16.796421,10,Columbia Plateau
Jan,106.076775,107.4239,28.847898,228.5559,51.92483,11,Blue Mountains
Feb,89.98846,92.2854,27.333,181.05,42.177677,11,Blue Mountains
Mar,101.20331,105.4474,36.5669,192.42389,42.609905,11,Blue Mountains
Apr,81.52604,82.07745,34.6489,168.62779,28.486383,11,Blue Mountains
May,70.1815,70.77295,38.7938,127.7279,14.233293,11,Blue Mountains
Jun,54.647297,55.1129,29.677,92.2229,9.41252,11,Blue Mountains
Jul,19.30723,18.6594,11.2209,30.3429,3.8676493,11,Blue Mountains
Aug,18.513298,18.596401,10.5619,24.583899,2.5734613,11,Blue Mountains
Sep,25.473171,23.36385,13.5949,39.208,6.2183776,11,Blue Mountains
Oct,67.375694,66.151505,25.3599,131.33589,28.082237,11,Blue Mountains
Nov,112.09044,111.80195,35.3649,262.2619,51.542736,11,Blue Mountains
Dec,118.615234,120.39189,32.3458,267.7279,58.20074,11,Blue Mountains
Jan,68.77857,62.3284,28.4889,200.927,27.398924,15,Northern Rockies
Feb,48.124203,43.254898,19.5009,161.2929,19.765451,15,Northern Rockies
Mar,61.904163,56.9459,21.0639,239.87189,26.210886,15,Northern Rockies
Apr,48.78656,44.1499,21.4279,129.5719,17.18219,15,Northern Rockies
May,57.57715,54.807396,25.711899,135.069,16.321224,15,Northern Rockies
Jun,60.61507,58.0639,22.5798,143.7399,19.29915,15,Northern Rockies
Jul,26.683128,25.968899,10.6139,63.0429,8.955833,15,Northern Rockies
Aug,17.804798,17.3209,7.559,39.2649,5.4939384,15,Northern Rockies
Sep,25.187107,23.1728,7.217,64.3288,8.525084,15,Northern Rockies
Oct,47.99454,43.8784,18.559,139.3179,17.895199,15,Northern Rockies
