month,mean,median,min,max,std,l3_code,region_name
Jan,16.309454,15.866833,4.2724,39.59486,5.1793137,1,Coast Range
Feb,10.159451,9.965828,2.850037,23.704266,2.809505,1,Coast Range
Mar,11.8649435,11.447342,2.7755134,28.089853,3.7315505,1,Coast Range
Apr,7.9546146,7.753957,1.5482292,18.043352,2.4308352,1,Coast Range
May,4.283324,4.094132,1.1122054,9.522643,1.1677552,1,Coast Range
Jun,3.2186425,3.16047,0.7650752,7.1463385,0.92233187,1,Coast Range
Jul,1.4100935,1.2514141,0.45940575,3.3004704,0.54180324,1,Coast Range
Aug,2.0802457,1.8592885,0.69802797,5.0448413,0.77271813,1,Coast Range
Sep,4.0014496,3.8775988,1.2338157,10.148544,1.3758445,1,Coast Range
Oct,10.17261,9.912976,3.067242,25.912214,3.2196574,1,Coast Range
Nov,16.86313,15.709333,5.114649,41.102932,5.687539,1,Coast Range
Dec,15.93936,15.17215,4.4198804,37.871,4.81877,1,Coast Range
Jan,1.6492988,1.4930677,0.88216186,5.7059836,0.57521546,10,Columbia Plateau
Feb,1.1748244,1.029347,0.54338616,5.5701213,0.45976716,10,Columbia Plateau
Mar,1.2803223,1.1326935,0.5429491,6.345476,0.5426429,10,Columbia Plateau
Apr,1.0217113,0.888658,0.42357898,5.1352744,0.42266247,10,Columbia Plateau
May,1.115686,1.0154691,0.42204356,3.5680296,0.4001958,10,Columbia Plateau
Jun,0.91129094,0.8335005,0.3407876,2.7231472,0.30671528,10,Columbia Plateau
Jul,0.36343107,0.3278742,0.072240196,1.1909809,0.14221063,10,Columbia Plateau
Aug,0.30170313,0.27865764,0.09685045,0.9864927,0.11683489,10,Columbia Plateau
Sep,0.40583596,0.35527185,0.14708276,1.4706308,0.161691,10,Columbia Plateau
Oct,1.057609,0.9473234,0.55011445,4.4700813,0.36165342,10,Columbia Plateau
Nov,1.5613626,1.3751583,0.70676816,5.6386213,0.6163537,10,Columbia Plateau
Dec,1.8963239,1.748558,0.93003595,6.9981456,0.6612768,10,Columbia Plateau
Jan,4.1762533,4.2292895,1.1357447,8.998268,2.0442858,11,Blue Mountains
Feb,3.5428545,3.6332855,1.076103,7.127957,1.6605394,11,Blue Mountains
Mar,3.9843845,4.151475,1.4396424,7.575748,1.6775563,11,Blue Mountains
Apr,3.2096884,3.2313976,1.3641306,6.638893,1.1215118,11,Blue Mountains
May,2.763053,2.786338,1.5273159,5.0286603,0.56036615,11,Blue Mountains
Jun,2.1514697,2.1698005,1.1683865,3.6308248,0.37057188,11,Blue Mountains
Jul,0.7601276,0.7346225,0.44176796,1.194603,0.15226975,11,Blue Mountains
Aug,0.7288704,0.7321422,0.41582307,0.9678706,0.10131743,11,Blue Mountains
