SPCD,TREE_COUNT,TOTAL_CARBON,AVG_DIAMETER,BASAL_AREA,SPECIES_NAME,PLOT_ID,STATE
17.0,2,2.0,1.3,4.0,Pacific Silver Fir,53_6_9_78_2001,WA
202.0,25,130876.0,33.7,28584.0,Douglas-fir,53_6_9_67082_2017,WA
263.0,15,10034.0,12.7,2765.0,Western Hemlock,53_6_9_67082_2017,WA
312.0,5,2414.0,11.5,672.0,Bigleaf Maple,53_6_9_67082_2017,WA
242.0,1,277.0,12.3,151.0,Western Red Cedar,53_6_9_67082_2017,WA
17.0,1,76.0,6.0,36.0,Pacific Silver Fir,53_6_9_67082_2017,WA
263.0,23,25312.0,16.3,8093.0,Western Hemlock,53_6_9_69954_2021,WA
202.0,13,52345.0,31.6,12239.0,Douglas-fir,53_6_9_69954_2021,WA
242.0,5,35126.0,47.9,12016.0,Western Red Cedar,53_6_9_69954_2021,WA
351.0,3,1215.0,12.1,519.0,Red Alder,53_6_9_69954_2021,WA
17.0,2,2717.0,18.0,700.0,Pacific Silver Fir,53_6_9_69954_2021,WA
263.0,34,25680.0,13.7,7431.0,Western Hemlock,53_6_9_78883_2015,WA
202.0,23,54423.0,22.9,14223.0,Douglas-fir,53_6_9_78883_2015,WA
242.0,3,107.0,4.9,94.0,Western Red Cedar,53_6_9_83406_2006,WA
263.0,2,2.0,1.3,3.0,Western Hemlock,53_6_9_83406_2006,WA
202.0,2,42.0,3.5,27.0,Douglas-fir,53_6_9_83406_2006,WA
17.0,2,100.0,5.0,59.0,Pacific Silver Fir,53_6_9_83406_2006,WA
375.0,1,7.0,2.3,5.0,Unknown Species,53_6_9_83406_2006,WA
351.0,12,8135.0,14.7,2725.0,Red Alder,53_6_9_92383_2020,WA
263.0,11,11535.0,15.3,2841.0,Western Hemlock,53_6_9_92383_2020,WA
242.0,11,8751.0,14.7,3575.0,Western Red Cedar,53_6_9_92383_2020,WA
202.0,7,13612.0,19.4,2953.0,Douglas-fir,53_6_9_92383_2020,WA
312.0,1,1369.0,21.1,445.0,Bigleaf Maple,53_6_9_92383_2020,WA
202.0,11,23710.0,24.9,7674.0,Douglas-fir,53_6_9_97913_2018,WA
361.0,1,15.0,3.4,12.0,Unknown Species,53_6_9_97913_2018,WA
