L3_CODE,L3_NAME,species_common_name,tree_count,plots_with_species,total_plots_in_ecoregion,avg_tree_cover_pct,area_sqkm,pct_plots_with_species
1,Coast Range,western hemlock,12902,798,1071,30.1,37634.0,74.5
1,Coast Range,Douglas-fir,11885,740,1071,30.1,37634.0,69.1
1,Coast Range,red alder,3008,406,1071,30.1,37634.0,37.9
1,Coast Range,western redcedar,2286,325,1071,30.1,37634.0,30.3
1,Coast Range,Pacific silver fir,1744,195,1071,30.1,37634.0,18.2
1,Coast Range,Sitka spruce,751,196,1071,30.1,37634.0,18.3
1,Coast Range,bigleaf maple,581,91,1071,30.1,37634.0,8.5
1,Coast Range,mountain hemlock,142,16,1071,30.1,37634.0,1.5
1,Coast Range,lodgepole pine,138,16,1071,30.1,37634.0,1.5
1,Coast Range,Alaska yellow-cedar,98,19,1071,30.1,37634.0,1.8
1,Coast Range,Oregon crab apple,97,26,1071,30.1,37634.0,2.4
1,Coast Range,bitter cherry,93,34,1071,30.1,37634.0,3.2
1,Coast Range,grand fir,39,20,1071,30.1,37634.0,1.9
1,Coast Range,other or unknown live tree,34,12,1071,30.1,37634.0,1.1
1,Coast Range,Pacific yew,29,20,1071,30.1,37634.0,1.9
1,Coast Range,Pacific madrone,26,5,1071,30.1,37634.0,0.5
1,Coast Range,black cottonwood,24,13,1071,30.1,37634.0,1.2
1,Coast Range,subalpine fir,24,4,1071,30.1,37634.0,0.4
1,Coast Range,Prunus,23,5,1071,30.1,37634.0,0.5
1,Coast Range,noble fir,21,7,1071,30.1,37634.0,0.7
1,Coast Range,western white pine,19,12,1071,30.1,37634.0,1.1
1,Coast Range,Oregon ash,16,5,1071,30.1,37634.0,0.5
1,Coast Range,willow spp.,14,3,1071,30.1,37634.0,0.3
1,Coast Range,chokecherry,10,3,1071,30.1,37634.0,0.3
1,Coast Range,Pacific dogwood,3,2,1071,30.1,37634.0,0.2
1,Coast Range,Engelmann spruce,1,1,1071,30.1,37634.0,0.1
1,Coast Range,English holly,1,1,1071,30.1,37634.0,0.1
1,Coast Range,apple spp.,1,1,1071,30.1,37634.0,0.1
1,Coast Range,paper birch,1,1,1071,30.1,37634.0,0.1
10,Columbia Plateau,ponderosa pine,777,116,167,0.8,132394.6,69.5
10,Columbia Plateau,Douglas-fir,559,61,167,0.8,132394.6,36.5
10,Columbia Plateau,Oregon white oak,161,17,167,0.8,132394.6,10.2
10,Columbia Plateau,quaking aspen,79,7,167,0.8,132394.6,4.2
10,Columbia Plateau,grand fir,57,5,167,0.8,132394.6,3.0
