L4_CODE,L4_NAME,species_common_name,tree_count,plots_with_species,total_plots_in_ecoregion,L3_CODE,L3_NAME,avg_tree_cover_pct,area_sqkm,pct_plots_with_species
10a,Channeled Scablands,ponderosa pine,475,61,74,10,Columbia Plateau,0.6,24357.3,82.4
10a,Channeled Scablands,Douglas-fir,232,21,74,10,Columbia Plateau,0.6,24357.3,28.4
10a,Channeled Scablands,quaking aspen,49,4,74,10,Columbia Plateau,0.6,24357.3,5.4
10a,Channeled Scablands,black cottonwood,24,3,74,10,Columbia Plateau,0.6,24357.3,4.1
10a,Channeled Scablands,grand fir,6,1,74,10,Columbia Plateau,0.6,24357.3,1.4
10a,Channeled Scablands,water birch,4,1,74,10,Columbia Plateau,0.6,24357.3,1.4
10a,Channeled Scablands,paper birch,2,1,74,10,Columbia Plateau,0.6,24357.3,1.4
10b,Loess Islands,ponderosa pine,15,2,4,10,Columbia Plateau,0.0,27064.3,50.0
10b,Loess Islands,chokecherry,5,1,4,10,Columbia Plateau,0.0,27064.3,25.0
10b,Loess Islands,Douglas-fir,1,1,4,10,Columbia Plateau,0.0,27064.3,25.0
10d,Okanogan Drift Hills,ponderosa pine,11,2,2,10,Columbia Plateau,0.1,4875.8,100.0
10d,Okanogan Drift Hills,Douglas-fir,7,1,2,10,Columbia Plateau,0.1,4875.8,50.0
10e,Pleistocene Lake Basins,northern California black walnut,22,1,2,10,Columbia Plateau,0.5,27294.4,50.0
10e,Pleistocene Lake Basins,bigleaf maple,8,2,2,10,Columbia Plateau,0.5,27294.4,100.0
10e,Pleistocene Lake Basins,Oregon white oak,5,2,2,10,Columbia Plateau,0.5,27294.4,100.0
10e,Pleistocene Lake Basins,walnut spp.,2,1,2,10,Columbia Plateau,0.5,27294.4,50.0
10e,Pleistocene Lake Basins,white alder,2,1,2,10,Columbia Plateau,0.5,27294.4,50.0
10f,Dissected Loess Uplands,ponderosa pine,21,4,5,10,Columbia Plateau,0.4,5045.9,80.0
10f,Dissected Loess Uplands,Douglas-fir,5,3,5,10,Columbia Plateau,0.4,5045.9,60.0
10f,Dissected Loess Uplands,western larch,4,1,5,10,Columbia Plateau,0.4,5045.9,20.0
10g,Yakima Folds,Oregon white oak,156,15,26,10,Columbia Plateau,0.6,22806.6,57.7
10g,Yakima Folds,ponderosa pine,62,13,26,10,Columbia Plateau,0.6,22806.6,50.0
10g,Yakima Folds,Douglas-fir,59,8,26,10,Columbia Plateau,0.6,22806.6,30.8
10g,Yakima Folds,grand fir,38,2,26,10,Columbia Plateau,0.6,22806.6,7.7
10g,Yakima Folds,quaking aspen,21,2,26,10,Columbia Plateau,0.6,22806.6,7.7
10g,Yakima Folds,bitter cherry,13,1,26,10,Columbia Plateau,0.6,22806.6,3.8
10g,Yakima Folds,black cottonwood,9,4,26,10,Columbia Plateau,0.6,22806.6,15.4
10g,Yakima Folds,chokecherry,6,3,26,10,Columbia Plateau,0.6,22806.6,11.5
10g,Yakima Folds,white alder,3,1,26,10,Columbia Plateau,0.6,22806.6,3.8
10g,Yakima Folds,red alder,1,1,26,10,Columbia Plateau,0.6,22806.6,3.8
10h,Palouse Hills,Douglas-fir,54,5,13,10,Columbia Plateau,0.5,9350.1,38.5
10h,Palouse Hills,ponderosa pine,46,10,13,10,Columbia Plateau,0.5,9350.1,76.9
10h,Palouse Hills,willow spp.,5,1,13,10,Columbia Plateau,0.5,9350.1,7.7
10h,Palouse Hills,grand fir,2,1,13,10,Columbia Plateau,0.5,9350.1,7.7
10i,Deep Loess Foothills,Douglas-fir,14,3,4,10,Columbia Plateau,1.9,2058.5,75.0
10i,Deep Loess Foothills,grand fir,11,1,4,10,Columbia Plateau,1.9,2058.5,25.0
10i,Deep Loess Foothills,ponderosa pine,2,1,4,10,Columbia Plateau,1.9,2058.5,25.0
10i,Deep Loess Foothills,bitter cherry,1,1,4,10,Columbia Plateau,1.9,2058.5,25.0
10i,Deep Loess Foothills,lodgepole pine,1,1,4,10,Columbia Plateau,1.9,2058.5,25.0
10l,Lower Snake and Clearwater Canyons,Douglas-fir,10,2,3,10,Columbia Plateau,0.8,2019.6,66.7
10l,Lower Snake and Clearwater Canyons,ponderosa pine,3,1,3,10,Columbia Plateau,0.8,2019.6,33.3
10m,Okanogan Valley,Douglas-fir,177,17,34,10,Columbia Plateau,1.0,7522.1,50.0
10m,Okanogan Valley,ponderosa pine,142,22,34,10,Columbia Plateau,1.0,7522.1,64.7
10m,Okanogan Valley,black cottonwood,23,2,34,10,Columbia Plateau,1.0,7522.1,5.9
10m,Okanogan Valley,quaking aspen,9,1,34,10,Columbia Plateau,1.0,7522.1,2.9
11c,Maritime-Influenced Zone,Douglas-fir,66,9,13,11,Blue Mountains,9.4,507.0,69.2
11c,Maritime-Influenced Zone,ponderosa pine,51,9,13,11,Blue Mountains,9.4,507.0,69.2
11c,Maritime-Influenced Zone,grand fir,27,6,13,11,Blue Mountains,9.4,507.0,46.2
11c,Maritime-Influenced Zone,bitter cherry,1,1,13,11,Blue Mountains,9.4,507.0,7.7
11c,Maritime-Influenced Zone,whitebark pine,1,1,13,11,Blue Mountains,9.4,507.0,7.7
11f,Canyons and Dissected Highlands,Douglas-fir,197,31,50,11,Blue Mountains,11.6,1722.4,62.0
11f,Canyons and Dissected Highlands,ponderosa pine,125,31,50,11,Blue Mountains,11.6,1722.4,62.0
11f,Canyons and Dissected Highlands,grand fir,122,17,50,11,Blue Mountains,11.6,1722.4,34.0
11f,Canyons and Dissected Highlands,western larch,19,8,50,11,Blue Mountains,11.6,1722.4,16.0
11f,Canyons and Dissected Highlands,western juniper,5,3,50,11,Blue Mountains,11.6,1722.4,6.0
11f,Canyons and Dissected Highlands,Rocky Mountain maple,2,2,50,11,Blue Mountains,11.6,1722.4,4.0
11g,Canyons and Dissected Uplands,ponderosa pine,53,3,3,11,Blue Mountains,2.9,763.5,100.0
11l,Mesic Forest Zone,grand fir,584,42,64,11,Blue Mountains,13.4,1352.2,65.6
11l,Mesic Forest Zone,Douglas-fir,237,43,64,11,Blue Mountains,13.4,1352.2,67.2
11l,Mesic Forest Zone,Engelmann spruce,201,28,64,11,Blue Mountains,13.4,1352.2,43.8
11l,Mesic Forest Zone,subalpine fir,187,17,64,11,Blue Mountains,13.4,1352.2,26.6
11l,Mesic Forest Zone,western larch,101,26,64,11,Blue Mountains,13.4,1352.2,40.6
11l,Mesic Forest Zone,ponderosa pine,51,16,64,11,Blue Mountains,13.4,1352.2,25.0
11l,Mesic Forest Zone,lodgepole pine,29,10,64,11,Blue Mountains,13.4,1352.2,15.6
11l,Mesic Forest Zone,Pacific yew,21,4,64,11,Blue Mountains,13.4,1352.2,6.2
11l,Mesic Forest Zone,bitter cherry,5,2,64,11,Blue Mountains,13.4,1352.2,3.1
